productId,productSlug,sku,rating,comment,reviewerName,status,createdAt
13325,,,5,Size mini tiện mang theo.,Võ Tuấn Tùng,approved,2026-04-26T03:53:59.000Z
14148,,,5,"Dry down đẹp, càng về sau càng thích.",Dương Hoàng Minh,approved,2026-01-01T16:46:36.000Z
13743,,,4,"Đoạn đầu hơi nồng với mình, sau xuống thì ổn.",Hoàng Thị Thư,approved,2026-03-21T13:07:04.000Z
13055,,,5,Thơm nha,Phan Mai Chi,approved,2026-06-13T21:10:07.000Z
13459,,,5,"Mình mua vì tò mò nhưng dùng vài hôm lại khá thích. Tỏa hương vừa phải, ngồi phòng máy lạnh không bị ngợp.",Phạm Hữu Nam,approved,2025-11-27T15:58:34.000Z
12140,,,5,Khá hợp dùng phòng máy lạnh.,Trần Minh Đạt,approved,2026-01-08T07:09:16.000Z
12541,,,4,Đủ ẩm nhưng da dầu chắc nên bôi lượng ít.,Đặng Quỳnh Nhi,approved,2026-08-20T20:54:07.000Z
12240,,,5,Da có sáng,Hoàng Kim Thư,approved,2025-10-10T15:26:06.000Z
12137,,,4,"Mình mới dùng một thời gian nên chưa nói nhiều về hiệu quả dài hạn. Trước mắt tóc mềm hơn, da đầu khá êm và không bị bết nhanh. Dùng ổn, mùi hơi rõ với mình.",Lê Khánh Yến,approved,2026-01-30T18:10:25.000Z
12580,,,5,Thơm lâu,Đỗ Hữu Duy,approved,2026-01-24T09:56:30.000Z
13777,,,5,Không quá nồng nên dùng hàng ngày được.,Hồ Thu Nhi,approved,2026-07-04T10:33:18.000Z
13634,,,5,Mình thích vì không bị bí da.,Đặng Tuấn Đạt,approved,2026-01-02T05:14:41.000Z
14078,,,5,"Lúc đầu mình thấy hơi rõ mùi nhưng khoảng 15 phút sau xuống rất đẹp. Bám trên áo ổn, dùng đi làm hay đi chơi đều được.",Bùi Hoàng Tuấn,approved,2026-07-09T07:19:00.000Z
